ACCIDENT_TIME,DAY_OF_WEEK,LONGITUDE,LATITUDE,Suburbs,TOTAL_PERSONS,ACCIDENT_TYPE
20.00.00,Friday,145.34329,-38.08281,CASEY,1,Collision with a fixed object
21.28.00,Friday,144.23775,-36.80762,BENDIGO,3,Struck Pedestrian
21.20.00,Friday,145.22217,-36.90536,STRATHBOGIE,1,Collision with a fixed object
22.30.00,Friday,145.01894,-37.60728,WHITTLESEA,1,Collision with a fixed object
01.40.00,Saturday,143.60239,-38.35993,COLAC OTWAY,1,Collision with a fixed object
02.35.00,Saturday,144.29188,-36.73136,BENDIGO,1,Collision with a fixed object
02.45.00,Saturday,145.23364,-37.87697,KNOX,1,Vehicle overturned (no collision)
04.55.00,Saturday,145.0143,-37.67781,WHITTLESEA,1,Collision with a fixed object
07.45.00,Saturday,145.10205,-37.96083,KINGSTON,2,Collision with a fixed object
22.00.00,Wednesday,144.83636,-37.62961,HUME,1,Collision with a fixed object
18.15.00,Thursday,145.12012,-37.81314,WHITEHORSE,2,Struck Pedestrian
09.30.00,Sunday,145.00521,-37.62064,WHITTLESEA,3,Collision with vehicle
01.25.00,Saturday,146.15653,-38.40089,SOUTH GIPPSLAND,3,Vehicle overturned (no collision)
07.55.00,Saturday,145.12678,-38.14872,FRANKSTON,1,Collision with a fixed object
21.00.00,Friday,145.27537,-37.48139,MURRINDINDI,2,collision with some other object
07.25.00,Saturday,144.82768,-37.79562,BRIMBANK,2,Collision with a fixed object
14.40.00,Saturday,145.04997,-37.75454,BANYULE,2,Collision with vehicle
00.25.00,Saturday,145.19027,-36.13453,MOIRA,1,Struck animal
18.45.00,Tuesday,145.03451,-37.93295,GLEN EIRA,2,Struck Pedestrian
17.56.00,Saturday,144.97821,-37.81055,MELBOURNE,2,Struck Pedestrian
18.40.00,Saturday,145.04822,-37.87889,STONNINGTON,8,Collision with vehicle
14.12.00,Saturday,143.05263,-35.99976,BULOKE,8,Collision with a fixed object
18.50.00,Saturday,145.1265,-37.79734,MANNINGHAM,3,Collision with vehicle
19.35.00,Saturday,145.05231,-37.9055,GLEN EIRA,2,Collision with vehicle
20.15.00,Saturday,145.92132,-38.15866,BAW BAW,4,Collision with vehicle
17.31.00,Saturday,145.1547,-37.84469,WHITEHORSE,2,Collision with vehicle
20.36.00,Saturday,144.13503,-38.10607,GOLDEN PLAINS,4,Collision with vehicle
01.20.00,Sunday,144.96372,-37.72867,MORELAND,2,Struck Pedestrian
01.30.00,Sunday,144.74781,-37.78344,MELTON,2,Collision with vehicle
07.20.00,Sunday,144.98404,-37.80507,YARRA,2,Struck Pedestrian
23.10.00,Saturday,144.92183,-37.65888,HUME,1,Collision with a fixed object
09.25.00,Sunday,144.92352,-37.63992,HUME,1,Collision with a fixed object
20.45.00,Wednesday,145.16824,-37.67208,NILLUMBIK,2,Fall from or in moving vehicle
03.30.00,Sunday,145.48225,-38.16871,CARDINIA,1,Collision with a fixed object
22.30.00,Friday,144.95911,-37.81764,MELBOURNE,5,Collision with vehicle
19.10.00,Sunday,142.3985,-38.32804,MOYNE,3,Collision with vehicle
20.00.00,Sunday,145.14324,-37.78974,MANNINGHAM,2,Collision with vehicle
20.55.00,Sunday,144.78868,-37.8029,BRIMBANK,1,Collision with a fixed object
22.30.00,Thursday,144.51718,-36.68624,BENDIGO,2,collision with some other object
03.45.00,Sunday,144.89236,-37.79892,MARIBYRNONG,2,Collision with a fixed object
17.30.00,Sunday,144.92393,-37.77256,MOONEE VALLEY,1,Vehicle overturned (no collision)
16.00.00,Friday,144.36246,-38.02662,GEELONG,1,Collision with a fixed object
21.10.00,Thursday,144.68336,-37.87457,WYNDHAM,1,Collision with a fixed object
18.42.00,Thursday,145.10701,-37.74172,BANYULE,1,Vehicle overturned (no collision)
16.30.00,Friday,144.78235,-37.81325,WYNDHAM,3,Collision with vehicle
16.15.00,Friday,144.78675,-37.81781,WYNDHAM,2,Collision with vehicle
16.30.00,Friday,146.32407,-38.20529,LATROBE,1,Collision with a fixed object
20.29.00,Friday,144.97362,-37.80538,YARRA,3,Struck Pedestrian
19.35.00,Friday,144.96473,-37.80473,MELBOURNE,3,Collision with vehicle
16.30.00,Friday,144.77711,-37.86238,HOBSONS BAY,2,Collision with vehicle
15.00.00,Saturday,144.8065,-37.72397,BRIMBANK,3,Collision with vehicle
